timestamp,ax,ay,az,roll1,roll2,pitch,yaw1,yaw2,fx,fy,fz,gx,gy,gz,mx,my,mz,step
110772468,15917,-2369,-2704,0.993372766,0.11493715,0.165047606,-0.999194395,-0.040131793,0,0,0,43,-32,20,1139,173,341,1
110792468,15955,-2454,-2698,0.993767919,0.111468932,0.166768747,-0.99950656,-0.031410759,0,0,0,47,-23,16,1119,147,367,1
110812468,15866,-2502,-2772,0.993767919,0.111468932,0.166768747,-0.999450216,-0.033155178,0,0,0,50,-25,16,1149,167,362,1
110832472,15889,-2504,-2807,0.993767919,0.111468932,0.166768747,-0.999450216,-0.033155178,0,0,0,63,-24,16,1117,169,365,1
110852472,15896,-2540,-2723,0.993767919,0.111468932,0.165047606,-0.999390827,-0.034899497,0,0,0,53,-28,21,1125,171,371,1
110872472,15961,-2404,-2719,0.993571856,0.113203214,0.165047606,-0.999328394,-0.036643709,0,0,0,54,-28,12,1125,167,354,1
110892472,15937,-2387,-2747,0.993571856,0.113203214,0.165047606,-0.999262916,-0.038387809,0,0,0,71,-19,12,1125,173,349,1
110912472,15865,-2439,-2785,0.993571856,0.113203214,0.165047606,-0.999262916,-0.038387809,0,0,0,63,-27,18,1137,177,351,1
110932472,15861,-2521,-2840,0.993571856,0.113203214,0.165047606,-0.999194395,-0.040131793,0,0,0,63,-23,14,1127,169,348,1
110952472,15890,-2505,-2786,0.993571856,0.113203214,0.165047606,-0.99912283,-0.041875654,0,0,0,59,-25,9,1125,177,327,1
110972472,15886,-2467,-2796,0.993571856,0.113203214,0.165047606,-0.999048222,-0.043619387,0,0,0,60,-26,14,1117,161,347,1
110992472,15910,-2399,-2736,0.993571856,0.113203214,0.165047606,-0.999048222,-0.043619387,0,0,0,63,-26,12,1131,169,344,1
111012472,15891,-2429,-2798,0.993571856,0.113203214,0.165047606,-0.99897057,-0.045362988,0,0,0,63,-21,16,1139,177,344,1
