"timestamp","ax","ay","az","roll1","roll2","pitch","yaw1","yaw2","fx","fy","fz","gx","gy","gz","mx","my","mz","step"
117585172,16035,272,87,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-637,-10,-3,53,13,-71,1405,61,-62,1
117605172,15969,260,-274,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-765,-12,14,78,15,-70,1413,73,-62,1
117625172,15942,383,-145,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-817,-19,8,79,14,-73,1407,71,-63,1
117645172,16012,318,-270,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-677,-13,12,75,18,-70,1419,61,-65,1
117665172,16021,503,-163,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-652,-20,7,79,16,-73,1409,67,-52,1
117685172,16007,498,-138,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-681,-21,6,78,12,-73,1423,75,-64,1
117705172,16006,293,58,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-694,-12,-2,74,15,-73,1411,63,-65,1
117725172,16027,345,-55,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-650,-14,3,88,13,-71,1405,53,-64,1
117745172,15968,208,-49,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-772,-10,3,95,5,-77,1417,59,-58,1
117765172,15975,86,-193,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-759,-4,10,92,4,-76,1407,63,-55,1
117785172,15975,225,-192,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-756,-10,10,77,11,-74,1411,75,-42,1
117805172,15995,200,-117,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-718,-8,6,64,12,-73,1423,49,-51,1
117825172,16032,322,-53,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-641,-12,3,80,14,-75,1425,53,-58,1
117845172,15986,227,-4,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-736,-10,1,71,11,-72,1413,59,-55,1
117865172,15929,178,-231,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-847,-9,13,81,16,-71,1409,57,-66,1
117885172,15972,261,-103,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-763,-12,5,65,11,-74,1403,61,-57,1
117905172,16030,355,-73,-0.996514679864049,0.00112856738269329,-0.0116814386620304,0.995856169611216,0.0397077761590481,-643,-14,3,61,13,-78,1409,69,-54,1
