timestamp,ax,ay,az,roll1,roll2,pitch,yaw1,yaw2,fx,fy,fz,gx,gy,gz,mx,my,mz,step
923419620,15305,1196,-3400,-0.915498234,-0.369405419,-0.127437233,0.726711506,0.67344789,676,-1822,5450,-49,-272,19,903,-575,877,2
923439620,16321,1670,-3581,-0.920586538,-0.357044147,-0.126574546,0.727136057,0.673160238,2532,-822,4676,-26,-323,44,873,-585,860,2
923459620,17027,1821,-3614,-0.925623685,-0.344075967,-0.126367985,0.726611344,0.673780402,3774,-508,4178,32,-347,42,889,-567,858,2
923479620,17420,1688,-3384,-0.930616122,-0.330899075,-0.124870243,0.727050394,0.673566168,4394,-736,4214,-33,-354,22,887,-571,845,2
923499620,17486,1185,-2811,-0.93592491,-0.316766083,-0.122431056,0.728222039,0.672750853,4362,-1682,4908,-73,-380,25,907,-575,858,2
923519620,17305,525,-1897,-0.941826871,-0.299976522,-0.118933017,0.73002783,0.671365416,3812,-2922,6222,-114,-454,38,893,-575,830,2
923539620,17649,760,-777,-0.948633095,-0.27940117,-0.115956532,0.732159382,0.669570219,4286,-2338,7826,-134,-566,40,923,-579,838,2
923559620,18889,581,229,-0.956284292,-0.254276605,-0.111959747,0.734833263,0.667318819,6516,-2576,9046,-173,-723,15,889,-583,805,2
923579620,18616,44,693,-0.964221835,-0.225599743,-0.106067464,0.73856945,0.664128944,5702,-3480,9034,-237,-872,-24,911,-587,780,2
923599620,18944,-882,1621,-0.973850057,-0.184497619,-0.098180435,0.744118888,0.65907906,6030,-5116,9558,-347,-1383,-40,913,-577,755,2
923619620,13408,1373,1864,-0.982511133,-0.134672642,-0.09361,0.76055347,0.640586553,-5368,-310,8432,-1043,-1787,10,903,-571,740,2
923639620,16807,5631,-2413,-0.983701544,-0.123874189,-0.096672513,0.767023098,0.632336877,1354,8318,-782,-425,-462,-59,917,-573,725,2
923659620,17841,3196,-2215,-0.986643281,-0.101946607,-0.093757434,0.769487839,0.629797861,3338,3404,-1108,-147,-901,-172,921,-575,716,2
923679620,15147,4498,-5848,-0.988099463,-0.093491958,-0.088490907,0.766722925,0.633992447,-2124,6278,-8888,204,-608,-426,911,-561,692,2
923699620,15119,5252,-4614,-0.989214327,-0.084409244,-0.084241009,0.759969322,0.642633265,-2220,7978,-6648,433,-530,-469,907,-565,692,2
923719620,15329,2481,-2809,-0.990877807,-0.07010594,-0.077680704,0.752402056,0.652320348,-1832,2498,-3420,490,-631,-372,917,-559,668,2
923739620,16473,457,-3342,-0.9921993,-0.05856495,-0.07090531,0.744489295,0.66215804,424,-1452,-4900,524,-561,-223,927,-563,641,2
923759620,15979,-429,-3358,-0.993211351,-0.049140716,-0.063523974,0.739319276,0.668684704,-596,-3026,-5256,355,-507,-180,927,-561,619,2
923779620,15682,-1290,-2950,-0.994190341,-0.039707074,-0.05501608,0.738856131,0.669963112,-1214,-4512,-4742,69,-516,-155,915,-549,611,2
923799620,14918,-1051,-1402,-0.995060803,-0.026144149,-0.047390488,0.743120335,0.665786833,-2772,-3770,-2012,-228,-604,-127,925,-555,617,2
923819620,14839,80,-223,-0.99564825,-0.010201581,-0.043312571,0.750152916,0.658123417,-2950,-1272,-114,-408,-629,-109,931,-553,575,2
923839620,14907,1035,-26,-0.995766716,0.004453262,-0.040144489,0.757545993,0.649703249,-2824,762,-194,-443,-570,-105,911,-553,571,2
923859620,14314,1079,343,-0.995789666,0.017132752,-0.037605323,0.765341112,0.640617786,-4006,938,130,-468,-486,-91,911,-547,552,2
923879620,14589,1563,1125,-0.995570404,0.029112931,-0.037767572,0.772322586,0.632142564,-3452,1956,1340,-430,-403,-54,915,-569,575,2
923899620,14610,1988,1896,-0.995121712,0.041105328,-0.039593789,0.778077543,0.624896049,-3398,2772,2530,-362,-355,-22,915,-563,557,2
923919620,14259,2559,2453,-0.994626096,0.050273638,-0.04269889,0.781655313,0.620198127,-4088,3850,3374,-227,-197,-14,913,-551,550,2
923939620,14621,3359,4302,-0.993800392,0.061934408,-0.047072248,0.784313111,0.616489051,-3344,5342,6786,-181,-175,-8,913,-555,527,2
923959620,15330,2636,4995,-0.992677394,0.07622843,-0.049321783,0.78694861,0.612878524,-1894,3768,7720,-180,-262,-29,919,-553,536,2
923979620,15734,2225,4207,-0.991812026,0.088668641,-0.048014817,0.788308444,0.6112657,-1048,2964,5668,-66,-267,-137,923,-559,522,2
923999620,14804,2587,3710,-0.990892608,0.100144913,-0.044845225,0.786980454,0.613215318,-2884,3828,4276,127,-247,-241,913,-557,522,2
924019620,13452,370,4109,-0.989674255,0.115686631,-0.034719631,0.783496395,0.618350824,-5548,-404,4602,300,-361,-344,909,-553,511,2
924039620,14322,-915,4245,-0.987575328,0.136340227,-0.017889759,0.779441005,0.624206688,-3742,-2494,4170,368,-610,-518,905,-527,511,2
924059620,15312,17,4722,-0.984157708,0.160428815,0.000664953,0.776434483,0.628193175,-1654,56,4326,323,-773,-687,915,-541,491,2
924079620,16358,1318,4748,-0.979349371,0.187423848,0.01602953,0.769852154,0.636091173,598,3252,3448,554,-964,-625,909,-519,474,2
924099620,16889,2318,3874,-0.974244565,0.21154689,0.027366295,0.759378538,0.648236148,1846,5690,834,783,-958,-483,889,-507,467,2
924119620,10761,4853,8298,-0.95944595,0.272124074,0.022684452,0.762519466,0.644716268,-10022,10800,8030,-101,-2059,-250,907,-509,413,2
924139624,5603,5866,-5809,-0.963090381,0.257594971,0.032956685,0.754928062,0.653188078,-20358,12812,-20058,571,638,-251,883,-481,375,2
924159624,10201,3461,-8676,-0.975271698,0.206020229,0.040462708,0.732261587,0.678400179,-11392,8512,-24822,1476,1205,-257,893,-497,419,2
924179624,23894,-4439,4343,-0.974505216,0.204732418,0.055069919,0.704253197,0.706403732,15828,-7070,1994,1698,22,-228,895,-457,447,2
924199624,23685,-18676,6672,-0.973487636,0.206107629,0.067025728,0.699898852,0.70971654,15468,30380,6588,329,-35,-399,885,-451,396,2
924219624,17358,1065,-319,-0.982847372,0.157656899,0.059398682,0.70640102,0.703913435,2526,4194,-5960,-377,1861,126,907,-443,397,2
924239624,12312,6184,-4933,-0.990016773,0.105301902,0.055236208,0.704896307,0.705825141,-7754,14634,-13720,137,1666,-352,917,-451,453,2
924259624,13362,344,-5324,-0.993248878,0.061821034,0.062510826,0.683220334,0.72638534,-5804,2814,-13082,1230,1220,-257,917,-437,464,2
924279624,18281,-7016,-4377,-0.993445374,0.026052935,0.077715564,0.667858504,0.73907618,3978,-11760,-9830,807,1160,-213,923,-417,522,2
924299624,17999,-4948,-4420,-0.993075259,-0.008300457,0.084240448,0.667573549,0.738607582,3432,-7310,-8782,-12,1174,-18,925,-415,489,2
924319624,16341,1292,-5448,-0.992662655,-0.0437374,0.077579789,0.673354393,0.734084455,148,5272,-9730,-304,1175,128,923,-415,542,2
924339624,17055,-2642,-5378,-0.990594346,-0.078216918,0.074305945,0.676958032,0.731058961,1616,-2922,-8400,-184,1200,266,943,-425,579,2
924359624,17293,-2038,-5192,-0.987572141,-0.111261727,0.069587955,0.681071848,0.727647869,2190,-1840,-6902,-194,1198,300,935,-437,582,2
924379624,16315,-789,-5050,-0.983464688,-0.145995487,0.061918018,0.685849458,0.723835062,374,466,-5458,-204,1295,354,937,-451,604,2
924399624,15634,-1243,-6222,-0.976942778,-0.186661143,0.054085076,0.68864733,0.721810024,-792,-734,-6498,-75,1495,393,921,-445,615,2
924419624,14922,-2742,-7283,-0.967024293,-0.233384807,0.048438583,0.689910924,0.721011316,-1912,-4010,-7106,27,1728,409,929,-443,668,2
924439624,14131,-2330,-6879,-0.953756496,-0.283071952,0.04140214,0.693528578,0.717938108,-3062,-3408,-4606,-70,1949,484,921,-459,670,2
924459624,14130,-1654,-5928,-0.937300567,-0.333780633,0.032018278,0.697713349,0.714308305,-2502,-2334,-934,-53,2154,554,923,-463,742,2
924479624,14123,-1557,-4935,-0.918132301,-0.38359274,0.022235501,0.700440444,0.711992359,-1844,-2466,2792,63,2290,548,939,-477,795,2
924499624,14004,-645,-2754,-0.897523347,-0.429903343,0.01166071,0.703449264,0.70928975,-1320,-940,8838,68,2409,525,921,-497,812,2
