timestamp,ax,ay,az,roll1,roll2,pitch,yaw1,yaw2,fx,fy,fz,gx,gy,gz,mx,my,mz,step
219738328,15318,4128,-2438,-0.92541864,-0.290183449,-0.227019029,0.969841147,-0.041229386,346,914,4760,213,-193,71,543,-537,971,0
219758328,15791,3691,-2669,-0.928085234,-0.280745585,-0.228184424,0.969747907,-0.037371362,1206,-32,3976,213,-172,50,539,-529,979,0
219778328,15772,3813,-3052,-0.930216514,-0.272799494,-0.229356584,0.969616942,-0.034277173,1086,180,2920,187,-154,54,553,-555,975,0
219798328,15959,3858,-2845,-0.93252147,-0.263535935,-0.230823526,0.969333289,-0.031924495,1384,224,3038,160,-210,74,545,-561,983,0
219818328,16170,3452,-2517,-0.935632698,-0.252022572,-0.231320456,0.969269097,-0.030758381,1714,-630,3322,110,-307,82,555,-533,991,0
219838328,15880,3576,-2184,-0.939237814,-0.238122413,-0.232034118,0.969146591,-0.031633327,1012,-396,3536,30,-429,99,565,-551,977,0
219858328,15975,4054,-1357,-0.94341922,-0.219202597,-0.233743291,0.968605125,-0.033903496,1060,532,4606,-37,-612,122,557,-555,960,0
219878328,16739,4059,-311,-0.948450536,-0.19475304,-0.235666999,0.968080839,-0.036916064,2432,472,5934,-74,-810,147,571,-573,965,0
219898328,17479,4194,799,-0.953811871,-0.16526844,-0.23663988,0.967583699,-0.041239101,3730,706,7222,-149,-993,124,579,-571,939,0
219918328,17642,4979,2080,-0.959163057,-0.130670877,-0.237482291,0.96719034,-0.046639774,3870,2288,8682,-205,-1181,69,591,-573,941,0
219938328,18142,5353,4919,-0.964178722,-0.085138936,-0.238645193,0.966496151,-0.054572482,4694,3008,12970,-339,-1544,74,593,-561,917,0
219958328,17820,4308,8097,-0.96756673,-0.030437069,-0.238741098,0.965252822,-0.071559759,3926,862,17644,-738,-1892,102,623,-565,898,0
219978328,19305,5165,5864,-0.968132744,-0.008969972,-0.238443297,0.96446603,-0.081687609,6878,2590,12028,-334,-943,37,639,-569,928,0
219998328,19188,5927,4605,-0.968290731,0.0064764,-0.238018935,0.964690469,-0.080066264,6644,4128,9000,145,-576,24,659,-589,885,0
220018328,20047,6387,2076,-0.968590071,0.022531282,-0.236085292,0.965949534,-0.0706071,8350,5110,3416,468,-523,-33,641,-589,890,0
220038328,19979,6446,-379,-0.969124045,0.040944502,-0.231361771,0.967937566,-0.05747495,8196,5376,-2094,621,-584,-135,673,-597,868,0
220058328,20218,5113,-504,-0.969730521,0.066101652,-0.223134349,0.970388187,-0.048209498,8654,2972,-3170,480,-904,-272,699,-595,850,0
220078328,21059,2671,-199,-0.969723593,0.097545024,-0.211478878,0.973017188,-0.046367714,10330,-1538,-3586,199,-1232,-426,709,-611,852,0
220098328,20257,1295,-224,-0.969714697,0.127737992,-0.195043072,0.976079198,-0.052352199,8768,-3888,-4758,-61,-1410,-490,725,-623,844,0
220118328,20320,1671,-1429,-0.968512829,0.154643022,-0.18122168,0.978165196,-0.060834231,8942,-2658,-8132,-141,-1392,-440,757,-623,836,0
220138328,18722,1041,-1780,-0.965622883,0.18366494,-0.169822519,0.979475515,-0.071678089,5858,-3562,-9836,-233,-1563,-350,789,-619,768,0
220158328,18580,301,-1007,-0.960480131,0.21791216,-0.158723064,0.97987625,-0.08880049,5746,-4712,-9398,-483,-1818,-371,801,-613,742,0
220178328,18296,-931,249,-0.953069065,0.254083738,-0.149858979,0.978510991,-0.114193954,5426,-6946,-8034,-850,-1921,-316,799,-611,735,0
220198328,17425,756,832,-0.944050603,0.288660018,-0.14519688,0.974735342,-0.147253977,3972,-3328,-8004,-1154,-1915,-386,817,-645,690,0
220218328,13837,2151,1446,-0.932550039,0.323661905,-0.146037558,0.968682775,-0.181008155,-2844,-460,-7902,-1216,-1933,-361,827,-619,643,0
220238328,12503,3601,3029,-0.917947847,0.360848065,-0.151834701,0.961443622,-0.211262289,-5074,2358,-5874,-1116,-1930,-307,837,-635,620,0
220258328,12430,3851,3293,-0.903450469,0.393786555,-0.15781792,0.954309203,-0.237507239,-4728,2682,-6446,-941,-1773,-298,843,-631,565,0
220278328,11135,4469,3279,-0.889345486,0.424713634,-0.158296249,0.948165391,-0.260258818,-6892,3770,-7348,-802,-1495,-337,837,-631,548,0
220298328,10981,3933,3104,-0.876624215,0.450791707,-0.157664847,0.941851739,-0.282325456,-6778,2718,-8556,-746,-1289,-394,831,-647,531,0
220318328,11188,3939,3044,-0.864100525,0.474744095,-0.156793527,0.935410127,-0.302954316,-5954,2758,-9462,-683,-1197,-401,857,-629,515,0
220338328,11137,3820,3597,-0.850998595,0.497519895,-0.158457003,0.928644635,-0.322235711,-5624,2468,-9104,-675,-1159,-308,839,-629,476,0
220358328,10331,5173,4448,-0.838669913,0.517041234,-0.162083185,0.921864973,-0.339241628,-6832,5056,-8042,-634,-1016,-216,847,-639,467,0
220378328,10019,5110,4903,-0.827762175,0.533204181,-0.166144139,0.915598918,-0.353815639,-7094,4802,-7664,-555,-856,-161,833,-645,442,0
220398328,10026,4677,4947,-0.81747557,0.547424462,-0.171134,0.908520235,-0.369238207,-6744,3772,-8042,-608,-786,-164,847,-665,439,0
220418328,9377,4492,4609,-0.808216901,0.559162077,-0.177436985,0.900601031,-0.385272983,-7736,3200,-9102,-664,-690,-154,847,-643,420,0
220438328,8904,5165,5308,-0.799989831,0.569064891,-0.18340211,0.892680224,-0.40046213,-8414,4352,-8030,-629,-604,-159,839,-649,410,0
220458328,8129,5321,5487,-0.794501809,0.574890679,-0.189248374,0.884463463,-0.415632699,-9782,4478,-7864,-627,-407,-173,843,-665,409,0
220478328,7714,5555,6902,-0.792167297,0.577698475,-0.190571066,0.878899764,-0.426624466,-10536,4904,-5126,-356,-195,-209,845,-653,392,0
220498328,8160,4908,5988,-0.793272465,0.576878441,-0.188376075,0.873433262,-0.438537719,-9678,3680,-6926,-298,7,-345,845,-663,379,0
220518328,8042,5629,4397,-0.798776874,0.571085935,-0.182503146,0.868152555,-0.451261528,-10094,5310,-9918,-234,275,-479,865,-661,404,0
220538328,5653,6584,2649,-0.807525292,0.562198043,-0.170841254,0.865409961,-0.460843833,-15160,7598,-13122,29,489,-577,861,-645,372,0
220558328,3622,6037,3065,-0.819091408,0.550849659,-0.151005651,0.86601571,-0.466384083,-19604,7144,-11918,379,677,-733,885,-643,405,0
220578328,16160,-62,19873,-0.815322958,0.565367244,-0.112913099,0.874713659,-0.460857363,5588,-3818,21226,1252,-476,-1036,915,-621,402,0
220598328,20244,7132,4348,-0.836813429,0.536375603,-0.094662289,0.877639864,-0.459373124,13052,11166,-8872,579,1537,-518,909,-601,400,0
220618328,22366,10476,8238,-0.852590069,0.514765605,-0.0694465,0.883419352,-0.452660346,16778,18678,-384,915,1171,-647,919,-565,432,0
220638328,15591,9727,2781,-0.876925664,0.473286202,-0.05927632,0.89385079,-0.433608953,2528,17976,-10178,1354,1736,-372,941,-549,445,0
220658328,13866,5690,4394,-0.898786219,0.431132762,-0.049623485,0.900735257,-0.420249911,-1702,10068,-5448,982,1857,-376,949,-545,495,0
220678328,16871,119,3643,-0.916882981,0.392328827,-0.037213661,0.909501683,-0.402671607,3758,-1012,-5734,1010,1593,-54,983,-533,513,0
220698328,15695,-4854,2173,-0.932383403,0.354728632,-0.022766817,0.915328987,-0.390341939,908,-10760,-7466,678,1464,58,1011,-525,541,0
220718328,15364,-5644,2355,-0.943859167,0.323221128,-0.010019645,0.916573234,-0.387874786,-152,-11958,-6030,220,1216,-8,1007,-535,552,0
220738328,15590,-5924,3324,-0.952485928,0.296634894,0.001964021,0.914077843,-0.393697131,-12,-12126,-3150,-146,1078,-102,1017,-515,591,0
220758328,15972,-7090,4517,-0.958318248,0.276621781,0.016176076,0.909860734,-0.403105929,534,-14020,-36,-286,889,-190,1027,-531,619,0
220778328,15688,-2553,3488,-0.963809684,0.256011508,0.021908244,0.903555233,-0.416526988,-206,-4522,-1450,-485,881,-185,1049,-529,601,0
220798328,15515,962,2859,-0.969034396,0.235375851,0.020241838,0.897366777,-0.429736095,-716,2668,-2044,-486,861,-134,1049,-521,643,0
220818328,16682,2881,3688,-0.973442437,0.216607105,0.014878734,0.893056104,-0.438805992,1462,6428,278,-318,841,-54,1045,-513,648,0
220838328,16104,3434,1737,-0.977933766,0.195243238,0.007452797,0.891009161,-0.442988561,174,7322,-3006,-118,836,42,1055,-519,668,0
220858328,16668,3453,-1063,-0.982680758,0.169898277,1.97E-05,0.891045835,-0.443307091,1174,7104,-7916,62,817,94,1061,-521,700,0
220878328,19803,3161,-875,-0.986644512,0.144372521,-0.007195894,0.892292188,-0.440760987,7294,6232,-6660,178,875,170,1069,-541,713,0
220898328,21078,3110,-3756,-0.989496432,0.121356189,-0.01470244,0.892997839,-0.43885036,9722,5738,-11480,119,1002,353,1059,-529,755,0
220918328,23369,418,-4854,-0.991895687,0.097278558,-0.024695929,0.893696418,-0.437074134,14228,26,-12892,116,1038,452,1069,-537,750,0
220938328,24807,1467,-5651,-0.993606325,0.070367699,-0.038707496,0.891798455,-0.439823397,17044,1666,-13600,-100,1145,596,1061,-561,810,0
220958328,25029,1035,-5975,-0.994399892,0.038920766,-0.056128276,0.888163341,-0.445234651,17460,232,-13216,-221,1320,733,1055,-553,803,0
220978328,26770,-1098,-2696,-0.993839208,0.00452622,-0.074471687,0.881751258,-0.455132104,20960,-4634,-5528,-409,1421,776,1055,-585,847,0
220998328,28013,-1995,3623,-0.991670424,-0.030413006,-0.093157464,0.870188249,-0.473384971,23512,-7040,8260,-784,1408,815,1021,-587,881,0
221018328,26395,-773,10975,-0.988622639,-0.062311241,-0.107912456,0.853369568,-0.500074418,20378,-5078,24010,-1169,1230,702,1003,-597,889,0
221038328,21429,6389,15623,-0.985019905,-0.091454262,-0.118525708,0.831998073,-0.532374159,10560,8902,-31272,-1454,1075,597,987,-621,915,0
221058328,15918,9619,16670,-0.980661202,-0.119499393,-0.128370911,0.812721072,-0.558984587,-314,15042,-28262,-1203,1050,584,983,-617,954,0
221078328,11044,7053,15793,-0.974369686,-0.150816277,-0.141765583,0.799702935,-0.574205942,-9854,9474,-28994,-646,1251,695,961,-635,968,0
221098328,10391,-432,15263,-0.971193103,-0.159836443,-0.152972189,0.795249861,-0.577455167,-10882,-5942,-28876,-200,1508,660,953,-645,981,0
221118328,8904,-4323,19078,-0.965022851,-0.183523018,-0.164932919,0.792581538,-0.577985222,-13820,-14026,-21360,87,1042,531,953,-677,1034,0
221138328,13872,-7663,21337,-0.964522634,-0.183237437,-0.168452862,0.787783919,-0.583580183,-3864,-20818,-16860,-184,-8,238,937,-687,1035,0
221158328,16902,-5198,14320,-0.966492439,-0.174873564,-0.166134937,0.779728474,-0.594865549,2130,-15814,-31164,-491,-396,52,959,-701,1021,0
221178328,18464,-984,5378,-0.972477093,-0.153844304,-0.151589981,0.772063814,-0.608455159,5154,-7100,16210,-678,-431,-192,969,-705,1019,0
221198332,19157,774,23,-0.977129146,-0.136855917,-0.137574688,0.764154904,-0.621533083,6324,-3042,4668,-623,-589,-307,973,-697,1011,0
221218332,21457,558,-1402,-0.981535265,-0.110864941,-0.129772616,0.755420586,-0.633631477,10740,-3126,840,-562,-1106,-196,997,-699,990,0
221238332,23953,1142,-5228,-0.985998474,-0.075847037,-0.121894118,0.743947048,-0.6485513,15582,-1702,-7956,-711,-1490,-205,1013,-693,960,0
221258332,24769,4286,-6687,-0.990172386,-0.02200583,-0.110122292,0.727996886,-0.668223236,17056,4968,-12616,-974,-2273,-384,1021,-679,902,0
221278332,24885,7223,-4803,-0.990726158,0.05636644,-0.094166779,0.71155715,-0.687982101,17242,11360,-11392,-955,-3256,-625,1045,-669,823,0
221298332,27963,9770,-2427,-0.984000456,0.142847653,-0.074871354,0.701664638,-0.700485025,23612,17086,-9478,-484,-3543,-804,1059,-669,793,0
221318332,29166,11280,-3443,-0.971009167,0.221695568,-0.052430879,0.70163676,-0.70248458,26456,20840,-14106,186,-3204,-868,1051,-657,665,0
221338332,29650,9107,-3881,-0.954110065,0.290144375,-0.027376931,0.706778627,-0.698833782,27990,17318,-17238,586,-2804,-881,1051,-647,630,0
221358332,26694,5244,-2929,-0.936027922,0.345624655,-0.005042291,0.71458948,-0.691405298,22684,10324,-17164,781,-2311,-684,1025,-643,526,0
221378332,23504,4568,-4397,-0.918183532,0.390572486,0.016356486,0.720147602,-0.685356386,16896,9672,-21578,707,-1911,-649,1013,-637,517,0
221398332,19752,4228,-7456,-0.901722966,0.426153874,0.037827069,0.721647199,-0.68299282,9940,9696,-28868,536,-1545,-712,1017,-649,454,0
221418332,14181,2666,-8337,-0.899277475,0.430730846,0.049804947,0.723130865,-0.681818264,-746,7142,-31500,424,-1161,-579,987,-635,405,0
221438332,8500,1530,-9692,-0.891357223,0.445143437,0.059956608,0.7200184,-0.683111021,-12228,5026,31576,136,-589,-395,995,-617,373,0
221458332,-598,5594,-9418,-0.890787609,0.446453271,0.058559415,0.714846022,-0.688567879,-30388,13108,32070,-218,14,-45,979,-629,371,0
221478332,2381,6845,-8902,-0.896282913,0.435955267,0.052938588,0.718389461,-0.685348423,-24612,15426,-32088,155,526,329,965,-621,379,0
221498332,1249,2547,-6193,-0.907294808,0.411636215,0.058456946,0.732780585,-0.669616554,-27242,7010,-25868,961,1091,202,979,-637,391,0
221518332,243,-1292,-6870,-0.916506328,0.387322096,0.076695456,0.740299389,-0.659475328,-29558,-70,-26426,844,1075,-437,979,-633,431,0
221538332,-1383,-425,-5327,-0.921587022,0.370272076,0.096824054,0.740464637,-0.656686673,32564,2320,-22784,470,767,-684,1007,-615,429,0
221558332,-172,1482,-40,-0.928913709,0.345354959,0.116256982,0.748928979,-0.643906511,-30796,6768,-11390,939,1043,-477,1003,-599,466,0
221578332,8767,5515,30193,-0.922277329,0.349224176,0.152309483,0.773695862,-0.606174486,-12716,16006,-16574,2298,-434,-699,1003,-589,437,0
221598332,9427,-983,-11323,-0.947534323,0.263881741,0.168713846,0.799987033,-0.567943873,-11980,3544,-32116,1917,2317,-40,1003,-551,468,0
221618332,22776,-7791,23492,-0.947046064,0.251440376,0.187669304,0.812983114,-0.542032572,14494,-9462,-26772,1392,355,-407,1017,-541,476,0
221638332,20173,-2632,56,-0.955286814,0.224539353,0.179599218,0.82092694,-0.532999981,9096,632,-7456,441,850,413,1029,-537,475,0
221658332,11183,8193,4400,-0.961332761,0.216190351,0.155003826,0.82329537,-0.536679514,-9060,22106,1862,-3,610,192,1005,-535,484,0
221678332,17000,-2206,726,-0.966747925,0.190230772,0.154931459,0.832147384,-0.523034403,2346,668,-4924,705,856,146,1011,-555,508,0
221698332,16642,-10717,469,-0.96911104,0.164166896,0.168657685,0.835565194,-0.513168262,1478,-16314,-4564,476,919,31,1035,-535,512,0
221718332,19358,-1897,908,-0.971521508,0.149094328,0.168699244,0.832231645,-0.518632844,6906,1778,-3170,-183,598,-90,1027,-543,540,0
221738332,17872,2586,-2554,-0.976367343,0.128606236,0.156800556,0.833438437,-0.520486707,3828,10570,-9578,-25,598,160,1037,-555,533,0
221758332,18617,2283,-6066,-0.981821114,0.097823305,0.144388179,0.838958692,-0.515536774,5134,9518,-15726,276,802,272,1039,-555,528,0
221778332,21857,-1113,-5092,-0.984781729,0.076083358,0.135104368,0.843456002,-0.510083649,11430,2190,-12664,325,922,436,1045,-563,562,0
221798332,26308,-3883,-5045,-0.987723706,0.053224813,0.12355232,0.846124949,-0.508641863,20242,-3726,-11830,159,981,515,1033,-567,578,0
221818332,25653,-2679,-6152,-0.990241999,0.028113028,0.110044795,0.845392384,-0.512859259,18848,-1758,-13216,-102,1103,582,1017,-589,606,0
221838332,25868,-1573,-5686,-0.991996817,0.000371359,0.096107641,0.842339478,-0.520588733,19220,0,-11376,-258,1220,603,1023,-597,630,0
221858332,26418,-1041,-4993,-0.992875051,-0.030668266,0.079238858,0.837660225,-0.530729609,20288,514,-8970,-357,1360,732,1017,-609,651,0
221878332,29325,-2433,1549,-0.992617033,-0.061112331,0.061885443,0.830900259,-0.543485882,26110,-2836,5114,-467,1334,773,1017,-641,707,0
221898332,28493,2737,7581,-0.991307072,-0.08833419,0.045461322,0.819529705,-0.561806099,24486,6966,18072,-741,1210,772,1007,-629,735,0
221918332,23055,11347,14631,-0.989104455,-0.114693079,0.031041297,0.809372926,-0.577288868,13688,23712,-32504,-605,1158,704,997,-651,764,0
221938332,17136,10860,15763,-0.984874912,-0.148139745,0.014973895,0.809455497,-0.57772653,1984,22212,-29140,155,1427,687,999,-683,775,0
221958332,13152,5505,14344,-0.982071733,-0.166073088,-0.010262671,0.817589724,-0.566477576,-5750,10938,-30604,750,1772,632,973,-685,818,0
221978332,8976,-135,18107,-0.977938427,-0.186041536,-0.026441304,0.831856718,-0.544493426,-13932,-1152,-22258,1220,2085,502,947,-741,857,0
221998332,9654,-4002,22359,-0.971465357,-0.216058243,-0.03703493,0.844265504,-0.524936492,-12536,-9218,-13728,1092,1325,266,941,-737,877,0
222018332,12813,-3382,20718,-0.974012431,-0.205129638,-0.033270391,0.844141111,-0.525402242,-6292,-7854,-17380,28,-406,-104,931,-757,869,0
222038332,11135,3227,16326,-0.984815586,-0.145823749,-0.032827014,0.835570529,-0.538771272,-9876,5526,-27224,-626,-1330,-25,941,-763,844,0
222058332,12831,14603,9865,-0.989250725,-0.109366406,-0.044634168,0.837968269,-0.53435977,-6764,27744,23324,346,-1433,489,945,-771,823,0
222078332,19247,15230,2942,-0.99129837,-0.077248413,-0.064029492,0.856625708,-0.50196361,5986,28362,8442,1667,-1171,676,921,-783,816,0
222098332,26699,11417,-3596,-0.992663693,-0.046200799,-0.072719615,0.882124066,-0.454489673,20836,20450,-5644,2284,-1059,250,919,-815,737,0
222118332,25195,7436,-10337,-0.994342146,-0.008561106,-0.065868325,0.905638319,-0.407295473,17774,12712,-20362,2213,-1333,-303,903,-801,676,0
222138332,25238,7431,-8994,-0.993573453,0.061237063,-0.052059999,0.920854423,-0.374189962,17866,13154,-19948,1576,-2700,-487,903,-815,633,0
222158332,25744,11012,-4361,-0.985899663,0.144562421,-0.035962312,0.93059263,-0.351460386,19116,20844,-13404,1146,-3306,-511,889,-795,514,0
222178332,23632,13334,-3265,-0.971344713,0.225378856,-0.021622327,0.942984711,-0.318459943,15370,25958,-13866,1596,-3245,-272,863,-779,495,0
222198332,27736,12286,-4024,-0.953400487,0.293592861,-0.009805488,0.957202395,-0.274094839,24174,24250,-17630,2035,-2785,64,835,-777,393,0
222218332,29701,9802,-4894,-0.933488458,0.35237216,0.004778847,0.968904886,-0.229837628,28762,19762,-21300,2033,-2462,75,845,-767,297,0
222238332,22738,6709,-4253,-0.915103486,0.397769636,0.017078844,0.978409803,-0.185484264,15452,13978,-21520,1978,-1958,266,783,-759,261,0
222258332,20040,3308,-6472,-0.898849832,0.432949087,0.028468351,0.984948082,-0.146145025,10600,7550,-27116,1747,-1559,288,767,-719,220,0
222278332,16107,671,-8330,-0.895792432,0.43950869,0.034246064,0.989346541,-0.116680659,3208,2518,-31758,1286,-1263,303,767,-725,180,0
222298332,9061,-206,-8751,-0.887326047,0.455729447,0.035547851,0.99130784,-0.092824824,-10980,754,-32422,954,-706,416,725,-719,145,0
222318332,2115,2569,-9381,-0.886612974,0.457468502,0.031207348,0.99326412,-0.072160633,-24830,6162,31784,752,-52,582,737,-697,139,0
222338332,1629,4242,-7665,-0.893710978,0.443706717,0.026418469,0.995261826,-0.042526413,-26038,9350,-29866,1071,644,755,741,-695,102,0
222358332,4365,-1280,-7455,-0.906918008,0.415557465,0.029414181,0.996185098,0.000436073,-21014,-1594,-28512,1710,1271,676,753,-685,127,0
222378332,2854,-3559,-6634,-0.921062957,0.381641945,0.042613968,0.995048847,0.039687626,-24498,-5720,-25760,1757,1487,182,755,-685,149,0
222398332,4335,-2051,-3798,-0.930900881,0.352905741,0.067148815,0.99165047,0.076674625,-21858,-1904,-19144,1849,1205,-333,785,-641,126,0
222418332,1956,-3198,-1989,-0.939533383,0.322148977,0.094493706,0.985052556,0.121720491,-26906,-3302,-14516,2193,1203,-383,807,-629,136,0
222438332,1967,2309,1556,-0.952414054,0.271855555,0.118888002,0.973965157,0.178199908,-27324,8510,-5760,2606,1921,-213,821,-547,146,0
222458332,3221,-1499,-2718,-0.955550838,0.240988128,0.15449377,0.951822829,0.255509024,-24938,2054,-13280,3604,860,-519,827,-531,188,0
222478332,15858,-14946,3734,-0.963474082,0.191788699,0.172514159,0.927337585,0.325600183,84,-24258,1232,3183,1604,-20,859,-461,176,0
222498332,32764,-20313,17410,-0.963200167,0.187541455,0.178686998,0.91505276,0.356008036,-31582,30734,28680,1434,-13,47,847,-407,183,0
222518332,12839,4082,2880,-0.968354777,0.188434482,0.146799513,0.925321238,0.343552811,-6000,13378,-376,-665,190,681,849,-423,208,0
222538332,8207,9673,-200,-0.972072044,0.172255751,0.141259297,0.925512591,0.345237728,-15446,23962,-6040,98,727,273,851,-417,199,0
222558332,14951,-6238,1275,-0.973915489,0.150673261,0.152214448,0.913649134,0.371436995,-2050,-7738,-2448,1241,694,76,863,-421,171,0
222578332,19361,-6356,2151,-0.976123391,0.134942709,0.152817491,0.908277903,0.384357117,6732,-7724,-118,648,618,99,883,-377,208,0
222598332,20253,-3349,1861,-0.977413112,0.127645712,0.150532188,0.908677651,0.384271732,8478,-1784,-462,59,357,131,879,-385,247,0
222618332,17537,4392,-749,-0.981312836,0.116263609,0.132784044,0.910784299,0.385729661,2982,13482,-5452,41,346,311,869,-393,239,0
222638332,19342,5879,-4467,-0.983618578,0.101465236,0.127137712,0.9059812,0.398778792,6446,15914,-12254,616,593,331,907,-407,254,0
222658332,23215,-2667,-4541,-0.986787491,0.080027454,0.116766911,0.89867717,0.418137416,14084,-1518,-11696,880,835,537,901,-377,257,0
222678332,24121,-3547,-4173,-0.989874162,0.058899473,0.101985607,0.895470129,0.428877449,15798,-3758,-10270,490,872,672,911,-409,282,0
222698332,24169,-3662,-6915,-0.99262963,0.036975978,0.082764263,0.894729039,0.434531759,15802,-4616,-15034,265,933,832,903,-401,296,0
222718332,25723,-5946,-7074,-0.99456965,0.010346225,0.063682355,0.895476595,0.436198857,18844,-9806,-14476,113,1138,818,933,-427,320,0
222738332,25873,-4900,-8499,-0.995302116,-0.021210054,0.043725736,0.899222359,0.430789277,19114,-8368,-16288,-178,1354,854,925,-427,317,0
222758332,29332,-6188,-4621,-0.994617062,-0.055440981,0.023118434,0.906694496,0.416448321,26056,-11618,-7410,-538,1465,906,945,-451,360,0
222778332,30478,-1701,4382,-0.9923476,-0.088523844,0.003441955,0.918105613,0.391064875,28416,-3290,11688,-987,1419,925,969,-485,389,0
222798332,27466,6262,13119,-0.988911074,-0.119162776,-0.013138508,0.930391867,0.36028745,22506,12092,30168,-1187,1301,857,979,-521,426,0
222818332,22426,11639,21061,-0.984537022,-0.14910141,-0.026867681,0.939477386,0.334939416,12576,22396,-18514,-925,1257,745,965,-541,436,0
