"timestamp","ax","ay","az","roll1","roll2","pitch","yaw1","yaw2","fx","fy","fz","gx","gy","gz","mx","my","mz","step"
140065216,15935,199,-644,-0.99582639709115,-0.0355053264647722,-0.00298132816532363,-0.940374873578548,0.333378247916698,-812,-10,33,85,-4,-62,779,389,220,0
140085216,15946,100,-403,-0.995857303962111,-0.0355810113251209,-0.00321083136257416,-0.940221512690187,0.333879869431257,-808,-5,21,61,5,-62,781,401,232,0
140105216,16087,121,-325,-0.995838547125459,-0.0356063731014729,-0.0034388576426045,-0.939997659996152,0.334480848163366,-531,-3,11,58,7,-62,783,399,236,0
140125216,16059,328,-113,-0.995859991759062,-0.0353237763047218,-0.00370016420810313,-0.93991401232779,0.334737351164222,-587,-11,5,69,2,-65,799,397,236,0
140145216,15878,597,-364,-0.995879642665386,-0.0350201725959778,-0.00421916455112167,-0.93994963914156,0.334649322554469,-923,-34,22,86,-7,-62,769,403,219,0
140165216,15914,629,-160,-0.995910096913576,-0.0346025247126818,-0.00476461402764471,-0.940094355493784,0.334263755008578,-856,-33,9,98,-7,-63,767,395,246,0
140185216,15937,200,-315,-0.995909158140421,-0.0340626575052738,-0.00497814088825762,-0.94009393081069,0.334222432225943,-828,-10,17,84,-14,-64,795,379,237,0
140205216,16015,267,-544,-0.995882622897625,-0.0336192864924669,-0.00518707463105833,-0.940359301865101,0.333382396027446,-658,-10,23,118,-15,-66,791,387,219,0
140225216,15906,410,-328,-0.995935223996639,-0.0330962240695953,-0.00538645309181185,-0.940605945885181,0.332742542028427,-881,-22,19,108,-18,-72,771,397,239,0
140245216,15984,95,-379,-0.995927521958947,-0.0329233948141336,-0.00553826652440691,-0.940612243488431,0.332696279510856,-734,-4,18,84,-2,-65,779,393,212,0
140265216,15972,124,-222,-0.995962657034397,-0.0329445172101259,-0.00563310644435455,-0.940636105835438,0.33269770257175,-764,-5,11,79,7,-66,767,407,241,0
140285216,16050,232,-219,-0.995942365378141,-0.0329573787748814,-0.00580866921078069,-0.940534126013517,0.332949068397284,-605,-8,9,71,8,-67,779,387,231,0
140305216,15965,307,-187,-0.995964735746384,-0.0327634382992983,-0.00603430841260002,-0.940629690885544,0.332704706117511,-773,-14,10,90,0,-66,773,393,253,0
140325216,15911,310,-213,-0.995938651263714,-0.0324472934007645,-0.00620861614908631,-0.940654300153255,0.332559928297997,-880,-17,12,90,-3,-68,783,405,246,0
140345216,15926,225,-245,-0.995941556990147,-0.0323380250483751,-0.00628243980410348,-0.940530531108379,0.332910923287272,-852,-12,14,68,1,-68,779,383,223,0
140365220,16043,98,-216,-0.995945267379284,-0.0322076715528965,-0.00623618755634318,-0.940407447516918,0.333260472863913,-622,-3,9,64,5,-73,767,393,248,0
140385220,16003,332,-293,-0.995944801717997,-0.0322924889624119,-0.00633944719414504,-0.940286310389638,0.333609929308295,-693,-14,13,70,10,-72,759,397,254,0
140405220,15939,516,-209,-0.995950102806091,-0.0324651841074228,-0.00656481891026125,-0.940398097038269,0.333312308415771,-813,-26,11,94,14,-72,783,393,255,0
140425220,16050,430,12,-0.99596650339663,-0.032250065356493,-0.00688947413135427,-0.940558398142457,0.332869660109282,-600,-16,0,98,5,-68,771,383,258,0
140445220,16073,78,-16,-0.995970642194152,-0.0320056863129139,-0.00693032291467311,-0.940554259344935,0.332872238010168,-566,-2,1,82,3,-66,787,391,238,0
140465220,15956,105,-219,-0.995992170646787,-0.0318623073399067,-0.0070855782004018,-0.940651284530759,0.332626154646277,-795,-5,11,93,3,-65,783,393,246,0
140485220,16000,131,-175,-0.995995491743088,-0.0313948690891266,-0.00712935705511144,-0.940588295459747,0.332780092954636,-708,-5,8,75,-9,-69,761,385,235,0
140505220,15937,108,-487,-0.995961058884859,-0.0313231963664293,-0.00710473971335776,-0.940563060343266,0.332780092954636,-821,-5,26,104,-5,-67,787,381,226,0
140525220,15972,207,-303,-0.995972892269492,-0.0312222633510828,-0.00718421149692224,-0.940550440922379,0.332831790670753,-759,-9,15,95,-3,-70,765,395,249,0
140545220,15994,221,-338,-0.996009338647127,-0.031171802431345,-0.00722925328894213,-0.94057366065681,0.33283301256597,-713,-9,16,84,9,-67,789,375,237,0
140565220,16046,140,-159,-0.995988113805652,-0.0309275574982166,-0.00723426579811111,-0.94053521938622,0.332884680479765,-617,-5,7,68,9,-66,783,401,227,0
140585220,15992,192,-213,-0.996015328913927,-0.0308054462075233,-0.00729052102778067,-0.94056767039001,0.332836633548141,-723,-8,10,61,4,-71,777,393,239,0
140605220,15954,209,-162,-0.995983459055424,-0.0305612459778786,-0.00735658709764615,-0.940539084374905,0.332839010283351,-799,-10,9,53,10,-69,777,395,220,0
140625220,16000,186,-56,-0.996037241071463,-0.0303675103932619,-0.00739880323622661,-0.94060542434454,0.332741653546691,-709,-8,3,62,9,-67,773,387,249,0
140645220,15926,261,44,-0.996007263660431,-0.0300012994557619,-0.00748526775579546,-0.940574944019318,0.332745118066669,-855,-14,-2,73,7,-64,783,395,261,0
140665220,15912,369,-219,-0.996019572019577,-0.0298500396311283,-0.00763505292086247,-0.940561041235924,0.332797806710005,-876,-20,13,91,5,-61,767,377,257,0
140685220,15969,183,-230,-0.99604669958353,-0.0297279953956604,-0.00769128782909152,-0.9405935741961,0.33274963311851,-768,-8,12,54,8,-65,789,377,240,0
140705220,15936,134,-207,-0.996059775352478,-0.0295555535703897,-0.00772096064736603,-0.940580498427153,0.332801148295403,-836,-7,11,62,16,-64,789,395,230,0
140725220,16067,175,-263,-0.996061677113175,-0.0294335279613733,-0.00774138143641991,-0.940578596666455,0.332802247256041,-572,-6,10,53,12,-67,771,385,223,0
140745220,16178,236,-256,-0.996073380112648,-0.0293327365070581,-0.00782092065484919,-0.940566089004278,0.33285373263061,-349,-5,6,49,16,-67,761,363,226,0
